islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
2,8,-1818,-2445
2,9,-2070,-2445
2,10,-1970,-2445
2,11,-1975,-2445
2,12,-2036,-2445
10,1,2475,2399
10,2,1666,2399
10,3,1822,2399
10,4,1585,2399
10,5,1474,2399
10,6,1399,2399
10,7,1434,2399
10,8,1179,2399
10,9,1269,2399
10,10,1276,2399
10,11,1160,2399
10,12,1283,2399
3,1,-801,-573
3,2,-520,-573
3,3,-916,-573
3,4,-617,-573
3,5,-716,-573
3,6,-294,-573
3,7,-540,-573
3,8,-342,-573
3,9,-253,-573
3,10,-311,-573
3,11,-308,-573
3,12,-326,-573
6,1,-1710,-1398
6,2,-1872,-1398
6,3,-2247,-1398
6,4,-1698,-1398
6,5,-1836,-1398
6,6,-1782,-1398
6,7,-1956,-1398
6,8,-1836,-1398
6,9,-2015,-1398
6,10,-2449,-1398
6,11,-2422,-1398
6,12,-2480,-1398
4,1,105,-47
4,2,-209,-47
4,3,82,-47
4,4,605,-47
4,5,504,-47
4,6,695,-47
4,7,731,-47
4,8,745,-47
4,9,840,-47
4,10,887,-47
4,11,734,-47
4,12,865,-47
9,1,298,-552
9,2,427,-552
9,3,455,-552
9,4,467,-552
9,5,391,-552
9,6,219,-552
9,7,436,-552
9,8,266,-552
9,9,423,-552
9,10,420,-552
9,11,520,-552
9,12,491,-552
6,1,1790,1474
6,2,2278,1474
6,3,2141,1474
6,4,2044,1474
6,5,2020,1474
6,6,2009,1474
6,7,2053,1474
6,8,2219,1474
6,9,1912,1474
6,10,1898,1474
6,11,1788,1474
6,12,1940,1474
1,1,1153,459
1,2,646,459
1,3,477,459
1,4,201,459
1,5,106,459
1,6,183,459
1,7,42,459
1,8,408,459
1,9,-93,459
1,10,-277,459
1,11,-337,459
1,12,-112,459
3,1,2790,2877
3,2,3111,2877
3,3,3061,2877
3,4,3124,2877
3,5,3027,2877
3,6,3086,2877
3,7,3081,2877
3,8,2898,2877
3,9,3063,2877
3,10,2985,2877
3,11,2805,2877
3,12,3033,2877
11,1,467,932
11,2,225,932
11,3,91,932
11,4,-409,932
11,5,-77,932
11,6,-338,932
11,7,-498,932
11,8,-400,932
11,9,-535,932
11,10,-634,932
11,11,-621,932
11,12,-507,932
4,1,3437,3024
4,2,3051,3024
4,3,3032,3024
4,4,3352,3024
4,5,3227,3024
4,6,3490,3024
4,7,3305,3024
4,8,3836,3024
4,9,3598,3024
4,10,3824,3024
4,11,3424,3024
4,12,3596,3024
8,1,-754,-850
8,2,-1547,-850
8,3,-1613,-850
8,4,-1768,-850
8,5,-1543,-850
8,6,-2028,-850
8,7,-1989,-850
8,8,-2329,-850
8,9,-2203,-850
8,10,-2153,-850
8,11,-2493,-850
8,12,-2524,-850
11,1,-1117,-1676
11,2,-1508,-1676
11,3,-694,-1676
11,4,-766,-1676
11,5,-740,-1676
11,6,-1057,-1676
11,7,-988,-1676
11,8,-1087,-1676
11,9,-883,-1676
11,10,-902,-1676
11,11,-620,-1676
11,12,-774,-1676
3,1,-221,-490
3,2,-1067,-490
3,3,-870,-490
3,4,-938,-490
3,5,-850,-490
3,6,-643,-490
3,7,-817,-490
3,8,-673,-490
3,9,-737,-490
3,10,-851,-490
3,11,-534,-490
3,12,-581,-490
10,1,3855,2997
10,2,4042,2997
10,3,4149,2997
10,4,4322,2997
10,5,4027,2997
10,6,4085,2997
10,7,4543,2997
10,8,5020,2997
10,9,4773,2997
10,10,4491,2997
10,11,4572,2997
10,12,5096,2997
10,1,2904,2574
10,2,2579,2574
10,3,2431,2574
10,4,2303,2574
10,5,2612,2574
10,6,2459,2574
10,7,2823,2574
10,8,2948,2574
10,9,3095,2574
10,10,3100,2574
10,11,3180,2574
10,12,3400,2574
4,1,2326,2401
4,2,1924,2401
4,3,1641,2401
4,4,2115,2401
4,5,1802,2401
4,6,1989,2401
4,7,1982,2401
4,8,2110,2401
4,9,2142,2401
4,10,2086,2401
4,11,2129,2401
4,12,2066,2401
10,1,475,-419
10,2,186,-419
10,3,720,-419
10,4,320,-419
10,5,701,-419
10,6,415,-419
10,7,502,-419
10,8,497,-419
10,9,160,-419
10,10,78,-419
10,11,314,-419
10,12,170,-419
1,1,113,-24
1,2,-85,-24
1,3,-60,-24
1,4,55,-24
1,5,71,-24
1,6,156,-24
1,7,138,-24
1,8,-12,-24
1,9,78,-24
1,10,133,-24
1,11,120,-24
1,12,321,-24
1,1,682,6
1,2,596,6
1,3,934,6
1,4,572,6
1,5,586,6
1,6,509,6
1,7,235,6
1,8,129,6
1,9,213,6
1,10,410,6
1,11,381,6
1,12,399,6
1,1,1949,1410
1,2,1857,1410
1,3,2131,1410
1,4,2043,1410
1,5,2161,1410
1,6,2151,1410
1,7,2128,1410
1,8,2179,1410
1,9,1829,1410
1,10,1947,1410
1,11,2157,1410
1,12,2120,1410
11,1,1902,1258
11,2,1267,1258
11,3,2293,1258
11,4,1430,1258
11,5,1501,1258
11,6,1291,1258
11,7,1407,1258
11,8,1446,1258
11,9,1747,1258
11,10,1225,1258
11,11,1414,1258
11,12,1256,1258
8,1,-1156,-1840
8,2,-1331,-1840
